訓練單位名稱,縣市別辦訓地,課程代碼,課程名稱,訓練時數,訓練人次,每人訓練費用,開訓日期,結訓日期
臺北市百貨公司售貨業職業工會,臺北市,159611,企業永續經營與人力資源管理實務訓練班,45,18,8520,20240909,20241028
臺北市保險業務職業工會,臺北市,159612,傳承規劃實務班,30,30,5690,20240904,20241002
花蓮縣總工會,花蓮縣,159613,風景畫壁飾拼布應用班,42,22,8850,20240824,20241005
臺北市百貨公司售貨業職業工會,臺北市,159614,財務會計與稅務申報實務班,45,18,8520,20240909,20241028
臺北市保險業務職業工會,臺北市,159616,保險法逐條解釋與案例應用班,36,30,6830,20240828,20241120
全國工人總工會,新北市,159617,拼布創意袋包實作班,42,29,10750,20240824,20241005
新竹市挽臉從業人員職業工會,新竹市,159618,挽臉美容專業人員實務班,45,18,11800,20240817,20241006
臺北市衛浴器材服務職業工會,臺北市,159619,新多益聽力與閱讀能力提升班,42,18,7940,20240831,20241005
基隆市職業總工會,基隆市,159621,多媒材紙藝拼貼班,54,22,12000,20240828,20241023
臺北市衛浴器材服務職業工會,臺北市,159622,3D室內空間設計與居家住宅風水格局規劃進階班,42,18,7940,20240831,20241005
台灣區電機電子工業同業公會,臺中市,159623,新多益題型解析與應考技巧班,45,25,8530,20240820,20241015
台灣區電機電子工業同業公會,臺中市,159624,基礎商用日文班,24,25,4550,20240902,20241028
大同大學,臺北市,159627,photoshop及AI影像生成設計班第01期,54,22,7560,20240907,20241102
基隆市職業總工會,基隆市,159629,中式點心班,54,20,11100,20240823,20241101
全國工人總工會,新北市,159630,布藝後背包拼接實作班,47,29,12030,20240902,20241028
基隆市商品包膜服務人員職業工會,基隆市,159631,皮革皮雕實作班,90,25,20000,20240908,20241229
基隆市職業總工會,基隆市,159633,麵包製作班,54,20,11100,20240821,20241023
臺北市解說員職業工會,新北市,159634,烘咖啡豆解說班,47,35,11130,20240824,20241012
基隆市職業總工會,基隆市,159635,生活實用裁縫實作班,54,20,10000,20240829,20241031
臺北市翻譯業職業工會,臺北市,159639,職場韓語基礎班,42,20,7900,20240905,20241212
中國房地產研究發展協會,臺北市,159640,建築物變更使用基礎認知暨室內裝修實務班,24,20,4410,20240819,20240911
臺北市翻譯業職業工會,臺北市,159641,電子書出版實務班,47,20,8800,20240907,20241130
社團法人台灣勞動力培訓發展協會,新北市,159644,複合式咖啡與烘焙點心班,45,24,9310,20240902,20241004
開南大學,臺北市,159646,國際物流與報關實務班,44,30,8140,20240817,20240921
台灣機械業工會聯合會,新北市,159647,Python機器學習班,42,25,7960,20240831,20241005
社團法人台灣勞動力培訓發展協會,新北市,159650,記帳士-稅務申報實務班,54,30,7640,20240904,20241101
社團法人台灣勞動力培訓發展協會,新北市,159652,EXCEL函數與VBA班,36,30,5520,20240831,20241005
社團法人台灣鵗力灣協會,桃園市,159658,職場多益英文文法閱讀解析班,36,28,5920,20240905,20241029
中華民國幸福城市營造發展協會,新北市,159661,優雅氣質手提包製作班,54,25,11800,20240824,20241012
台灣機械業工會聯合會,新北市,159662,日文初級班,42,25,7960,20240904,20241204
台北市洗染業職業工會,臺北市,159663,機能布料與污漬處理班,30,30,7350,20240901,20241006
佛光大學,宜蘭縣,159664,財富管理專題碩士學分班,54,15,8910,20240910,20250114
佛光大學,宜蘭縣,159665,服務業管理專題碩士學分班,54,15,8910,20240911,20250115
台灣機械業工會聯合會,新北市,159666,日文初級班,42,25,7960,20240907,20241012
基隆市小吃業職業工會,基隆市,159667,咖啡技術烘豆與義式拉花訓練班,72,25,14850,20240825,20241110
財團法人水源地文教基金會,臺北市,159673,化妝保養品調製實作班,42,24,10740,20240818,20240929
新北市手工藝業職業工會,新北市,159678,皮革工藝製品班,47,32,12030,20240824,20241005
新北市手工藝業職業工會,新北市,159682,彩繪商品應用班,47,32,12030,20240824,20241005
台灣區電信工程工業同業公會,臺北市,159691,電信線路銅纜佈建進階班,24,24,5310,20240824,20240901
中華民國勞動災害防止協會附設台北職業訓練中心,新北市,159695,施工安全評估人員安全衛生教育訓練班,76,17,12000,20240820,20240921
臺北市仲介業職業工會,臺北市,159701,房仲文宣設計及法規實務班,28,20,5180,20240904,20241115
中華民國勞動災害防止協會附設台北職業訓練中心,新北市,159702,甲種職業安全衛生業務主管教育訓練班,42,17,7000,20240905,20241017
臺北市仲介業職業工會,臺北市,159704,勞資爭議與勞健保實務班,45,20,8460,20240903,20241029
臺北市仲介業職業工會,臺北市,159705,不動產經紀人業務訓練-民法與不動產估價班,90,20,14850,20240822,20240929
宜蘭縣職能培訓職業工會,宜蘭縣,159708,ChatGPT輔助辦公室應用班,90,20,14850,20240827,20241212
宜蘭縣職能培訓職業工會,宜蘭縣,159711,日語文法初級班,90,20,14850,20240903,20241219
基隆市手工藝製品業職業工會,基隆市,159713,日語會話實用班,48,18,6500,20240829,20241219
基隆市木工業職業工會,基隆市,159714,木工家具設計製作班,54,20,10670,20240907,20241102
基隆市木工業職業工會,基隆市,159716,榫卯家具實作班,54,25,11960,20240906,20241101
桃園市工業會,桃園市,159718,人資人員勞動法令與就業服務法令解析實務訓練班,54,30,7300,20240824,20241026
桃園市工業會,桃園市,159719,採購專業人員實務訓練班,36,20,6800,20240831,20241019
基隆市西點麵包製作業職業工會,基隆市,159720,點心製作班,54,20,10000,20240830,20241025
桃園市工業會,桃園市,159721,透過有效的內控制度設計及KPI管理提升經營績效班,30,20,5600,20240831,20241005
